instant_x,dteday,season_x,yr_x,mnth_x,hr_x,holiday_x,weekday_x,weathersit_x,temp_x,Unnamed: 0,hum_x,windspeed_x,casual_x,registered_x,cnt_x,instant_y,season_y,yr_y,mnth_y,hr_y,holiday_y,weekday_y,weathersit_y,temp_y,atemp,hum_y,windspeed_y,casual_y,registered_y,cnt_y
597,28-01-2011,1,0,1,1,FALSE,5,2,0.2,596,0.75,0.1343,1,2,3,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
597,28-01-2011,1,0,1,1,FALSE,5,2,0.2,596,0.75,0.1343,1,2,3,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
597,28-01-2011,1,0,1,1,FALSE,5,2,0.2,596,0.75,0.1343,1,2,3,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
597,28-01-2011,1,0,1,1,FALSE,5,2,0.2,596,0.75,0.1343,1,2,3,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
597,28-01-2011,1,0,1,1,FALSE,5,2,0.2,596,0.75,0.1343,1,2,3,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
597,28-01-2011,1,0,1,1,FALSE,5,2,0.2,596,0.75,0.1343,1,2,3,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
598,28-01-2011,1,0,1,2,FALSE,5,2,0.2,597,0.75,0.1642,0,2,2,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
598,28-01-2011,1,0,1,2,FALSE,5,2,0.2,597,0.75,0.1642,0,2,2,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
598,28-01-2011,1,0,1,2,FALSE,5,2,0.2,597,0.75,0.1642,0,2,2,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
598,28-01-2011,1,0,1,2,FALSE,5,2,0.2,597,0.75,0.1642,0,2,2,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
598,28-01-2011,1,0,1,2,FALSE,5,2,0.2,597,0.75,0.1642,0,2,2,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
598,28-01-2011,1,0,1,2,FALSE,5,2,0.2,597,0.75,0.1642,0,2,2,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
598,28-01-2011,1,0,1,2,FALSE,5,2,0.2,597,0.75,0.1642,0,2,2,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
598,28-01-2011,1,0,1,2,FALSE,5,2,0.2,597,0.75,0.1642,0,2,2,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
599,28-01-2011,1,0,1,3,FALSE,5,2,0.2,598,0.75,0.1045,1,0,1,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
599,28-01-2011,1,0,1,3,FALSE,5,2,0.2,598,0.75,0.1045,1,0,1,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
599,28-01-2011,1,0,1,3,FALSE,5,2,0.2,598,0.75,0.1045,1,0,1,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
599,28-01-2011,1,0,1,3,FALSE,5,2,0.2,598,0.75,0.1045,1,0,1,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
599,28-01-2011,1,0,1,3,FALSE,5,2,0.2,598,0.75,0.1045,1,0,1,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
599,28-01-2011,1,0,1,3,FALSE,5,2,0.2,598,0.75,0.1045,1,0,1,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
599,28-01-2011,1,0,1,3,FALSE,5,2,0.2,598,0.75,0.1045,1,0,1,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
599,28-01-2011,1,0,1,3,FALSE,5,2,0.2,598,0.75,0.1045,1,0,1,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
600,28-01-2011,1,0,1,5,FALSE,5,2,0.18,599,0.8,0.1045,0,4,4,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
600,28-01-2011,1,0,1,5,FALSE,5,2,0.18,599,0.8,0.1045,0,4,4,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
600,28-01-2011,1,0,1,5,FALSE,5,2,0.18,599,0.8,0.1045,0,4,4,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
600,28-01-2011,1,0,1,5,FALSE,5,2,0.18,599,0.8,0.1045,0,4,4,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
600,28-01-2011,1,0,1,5,FALSE,5,2,0.18,599,0.8,0.1045,0,4,4,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
600,28-01-2011,1,0,1,5,FALSE,5,2,0.18,599,0.8,0.1045,0,4,4,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
600,28-01-2011,1,0,1,5,FALSE,5,2,0.18,599,0.8,0.1045,0,4,4,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
600,28-01-2011,1,0,1,5,FALSE,5,2,0.18,599,0.8,0.1045,0,4,4,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
601,28-01-2011,1,0,1,6,FALSE,5,2,0.18,600,0.8,0.1343,0,16,16,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
601,28-01-2011,1,0,1,6,FALSE,5,2,0.18,600,0.8,0.1343,0,16,16,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
601,28-01-2011,1,0,1,6,FALSE,5,2,0.18,600,0.8,0.1343,0,16,16,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
601,28-01-2011,1,0,1,6,FALSE,5,2,0.18,600,0.8,0.1343,0,16,16,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
601,28-01-2011,1,0,1,6,FALSE,5,2,0.18,600,0.8,0.1343,0,16,16,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
601,28-01-2011,1,0,1,6,FALSE,5,2,0.18,600,0.8,0.1343,0,16,16,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
601,28-01-2011,1,0,1,6,FALSE,5,2,0.18,600,0.8,0.1343,0,16,16,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
601,28-01-2011,1,0,1,6,FALSE,5,2,0.18,600,0.8,0.1343,0,16,16,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
602,28-01-2011,1,0,1,7,FALSE,5,2,0.16,601,0.86,0.0896,2,58,60,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
602,28-01-2011,1,0,1,7,FALSE,5,2,0.16,601,0.86,0.0896,2,58,60,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
602,28-01-2011,1,0,1,7,FALSE,5,2,0.16,601,0.86,0.0896,2,58,60,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
602,28-01-2011,1,0,1,7,FALSE,5,2,0.16,601,0.86,0.0896,2,58,60,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
602,28-01-2011,1,0,1,7,FALSE,5,2,0.16,601,0.86,0.0896,2,58,60,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
602,28-01-2011,1,0,1,7,FALSE,5,2,0.16,601,0.86,0.0896,2,58,60,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
602,28-01-2011,1,0,1,7,FALSE,5,2,0.16,601,0.86,0.0896,2,58,60,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
602,28-01-2011,1,0,1,7,FALSE,5,2,0.16,601,0.86,0.0896,2,58,60,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
603,28-01-2011,1,0,1,8,FALSE,5,2,0.16,602,0.86,0.0896,2,116.5,116.5,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
603,28-01-2011,1,0,1,8,FALSE,5,2,0.16,602,0.86,0.0896,2,116.5,116.5,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
603,28-01-2011,1,0,1,8,FALSE,5,2,0.16,602,0.86,0.0896,2,116.5,116.5,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
603,28-01-2011,1,0,1,8,FALSE,5,2,0.16,602,0.86,0.0896,2,116.5,116.5,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
603,28-01-2011,1,0,1,8,FALSE,5,2,0.16,602,0.86,0.0896,2,116.5,116.5,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
603,28-01-2011,1,0,1,8,FALSE,5,2,0.16,602,0.86,0.0896,2,116.5,116.5,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
603,28-01-2011,1,0,1,8,FALSE,5,2,0.16,602,0.86,0.0896,2,116.5,116.5,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
603,28-01-2011,1,0,1,8,FALSE,5,2,0.16,602,0.86,0.0896,2,116.5,116.5,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
604,28-01-2011,1,0,1,9,FALSE,5,3,0.18,603,0.86,0.0896,5,95,101,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
604,28-01-2011,1,0,1,9,FALSE,5,3,0.18,603,0.86,0.0896,5,95,101,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
604,28-01-2011,1,0,1,9,FALSE,5,3,0.18,603,0.86,0.0896,5,95,101,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
604,28-01-2011,1,0,1,9,FALSE,5,3,0.18,603,0.86,0.0896,5,95,101,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
604,28-01-2011,1,0,1,9,FALSE,5,3,0.18,603,0.86,0.0896,5,95,101,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
604,28-01-2011,1,0,1,9,FALSE,5,3,0.18,603,0.86,0.0896,5,95,101,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
604,28-01-2011,1,0,1,9,FALSE,5,3,0.18,603,0.86,0.0896,5,95,101,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
604,28-01-2011,1,0,1,9,FALSE,5,3,0.18,603,0.86,0.0896,5,95,101,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
605,28-01-2011,1,0,1,10,FALSE,5,3,0.18,604,0.86,0.1045,0,49,49,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
605,28-01-2011,1,0,1,10,FALSE,5,3,0.18,604,0.86,0.1045,0,49,49,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
605,28-01-2011,1,0,1,10,FALSE,5,3,0.18,604,0.86,0.1045,0,49,49,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
605,28-01-2011,1,0,1,10,FALSE,5,3,0.18,604,0.86,0.1045,0,49,49,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
605,28-01-2011,1,0,1,10,FALSE,5,3,0.18,604,0.86,0.1045,0,49,49,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
605,28-01-2011,1,0,1,10,FALSE,5,3,0.18,604,0.86,0.1045,0,49,49,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
605,28-01-2011,1,0,1,10,FALSE,5,3,0.18,604,0.86,0.1045,0,49,49,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
605,28-01-2011,1,0,1,10,FALSE,5,3,0.18,604,0.86,0.1045,0,49,49,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
606,28-01-2011,1,0,1,11,FALSE,5,3,0.18,605,0.93,0.1045,0,30,30,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
606,28-01-2011,1,0,1,11,FALSE,5,3,0.18,605,0.93,0.1045,0,30,30,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
606,28-01-2011,1,0,1,11,FALSE,5,3,0.18,605,0.93,0.1045,0,30,30,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
606,28-01-2011,1,0,1,11,FALSE,5,3,0.18,605,0.93,0.1045,0,30,30,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
606,28-01-2011,1,0,1,11,FALSE,5,3,0.18,605,0.93,0.1045,0,30,30,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
606,28-01-2011,1,0,1,11,FALSE,5,3,0.18,605,0.93,0.1045,0,30,30,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
606,28-01-2011,1,0,1,11,FALSE,5,3,0.18,605,0.93,0.1045,0,30,30,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
606,28-01-2011,1,0,1,11,FALSE,5,3,0.18,605,0.93,0.1045,0,30,30,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
607,28-01-2011,1,0,1,12,FALSE,5,3,0.18,606,0.93,0.1045,1,28,29,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
607,28-01-2011,1,0,1,12,FALSE,5,3,0.18,606,0.93,0.1045,1,28,29,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
607,28-01-2011,1,0,1,12,FALSE,5,3,0.18,606,0.93,0.1045,1,28,29,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
607,28-01-2011,1,0,1,12,FALSE,5,3,0.18,606,0.93,0.1045,1,28,29,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
607,28-01-2011,1,0,1,12,FALSE,5,3,0.18,606,0.93,0.1045,1,28,29,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
607,28-01-2011,1,0,1,12,FALSE,5,3,0.18,606,0.93,0.1045,1,28,29,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
607,28-01-2011,1,0,1,12,FALSE,5,3,0.18,606,0.93,0.1045,1,28,29,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
607,28-01-2011,1,0,1,12,FALSE,5,3,0.18,606,0.93,0.1045,1,28,29,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
608,28-01-2011,1,0,1,13,FALSE,5,3,0.18,607,0.93,0.1045,0,31,31,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
608,28-01-2011,1,0,1,13,FALSE,5,3,0.18,607,0.93,0.1045,0,31,31,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
608,28-01-2011,1,0,1,13,FALSE,5,3,0.18,607,0.93,0.1045,0,31,31,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
608,28-01-2011,1,0,1,13,FALSE,5,3,0.18,607,0.93,0.1045,0,31,31,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
608,28-01-2011,1,0,1,13,FALSE,5,3,0.18,607,0.93,0.1045,0,31,31,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
608,28-01-2011,1,0,1,13,FALSE,5,3,0.18,607,0.93,0.1045,0,31,31,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
608,28-01-2011,1,0,1,13,FALSE,5,3,0.18,607,0.93,0.1045,0,31,31,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
608,28-01-2011,1,0,1,13,FALSE,5,3,0.18,607,0.93,0.1045,0,31,31,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
609,28-01-2011,1,0,1,14,FALSE,5,3,0.22,608,0.8,0.02255,2,36,38,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
609,28-01-2011,1,0,1,14,FALSE,5,3,0.22,608,0.8,0.02255,2,36,38,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
609,28-01-2011,1,0,1,14,FALSE,5,3,0.22,608,0.8,0.02255,2,36,38,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
609,28-01-2011,1,0,1,14,FALSE,5,3,0.22,608,0.8,0.02255,2,36,38,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
609,28-01-2011,1,0,1,14,FALSE,5,3,0.22,608,0.8,0.02255,2,36,38,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
609,28-01-2011,1,0,1,14,FALSE,5,3,0.22,608,0.8,0.02255,2,36,38,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
609,28-01-2011,1,0,1,14,FALSE,5,3,0.22,608,0.8,0.02255,2,36,38,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
609,28-01-2011,1,0,1,14,FALSE,5,3,0.22,608,0.8,0.02255,2,36,38,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23
610,28-01-2011,1,0,1,15,FALSE,5,2,0.2,609,0.86,0.02255,1,40,41,611,1,0,1,16,FALSE,5,1,0.2275,0.26505,0.8,0.0335375,5.375,70,80
610,28-01-2011,1,0,1,15,FALSE,5,2,0.2,609,0.86,0.02255,1,40,41,612,1,0,1,17,FALSE,5,1,0.24,0.2424,0.75,0.1343,2,147,149
610,28-01-2011,1,0,1,15,FALSE,5,2,0.2,609,0.86,0.02255,1,40,41,613,1,0,1,18,FALSE,5,1,0.24,0.2273,0.75,0.194,2,107,109
610,28-01-2011,1,0,1,15,FALSE,5,2,0.2,609,0.86,0.02255,1,40,41,614,1,0,1,19,FALSE,5,2,0.24,0.2424,0.75,0.1343,5,84,89
610,28-01-2011,1,0,1,15,FALSE,5,2,0.2,609,0.86,0.02255,1,40,41,615,1,0,1,20,FALSE,5,2,0.24,0.2273,0.7,0.194,1,61,62
610,28-01-2011,1,0,1,15,FALSE,5,2,0.2,609,0.86,0.02255,1,40,41,616,1,0,1,21,FALSE,5,2,0.2275,0.2273,0.75,0.1343,1,57,58
610,28-01-2011,1,0,1,15,FALSE,5,2,0.2,609,0.86,0.02255,1,40,41,617,1,0,1,22,FALSE,5,1,0.24,0.2121,0.65,0.3022375,0,26,26
610,28-01-2011,1,0,1,15,FALSE,5,2,0.2,609,0.86,0.02255,1,40,41,618,1,0,1,23,FALSE,5,1,0.24,0.2273,0.6,0.2239,1,22,23

